Date,Description,Withdrawal (Dr),Deposit (Cr),Balance,Type,Reference
01/04/2025,MMT/IMPS/5091171 53593/NIDISH/UTIB 0000347,150000.00,,650280.67,debit,
08/04/2025,GRS/0047GRSD250 20229 2714109 80131 Solar Punk L,,699632.92,1349913.59,credit,
08/04/2025,GRS/0047GRSD250 20229 Commission~0047G RSD25020229 C,2000.00,,1347913.59,debit,
08/04/2025,GRS/0047GRSD250 20229 Commision CGST~0047GRSD25 0202,180.00,,1347733.59,debit,
08/04/2025,GRS/0047GRSD250 20229 Commision SGST~0047GRSD25 0202,180.00,,1347553.59,debit,
08/04/2025,GRS/0047GRSD250 20229 Slab CGST~0047GRSD25 020229 Sl,359.84,,1347193.75,debit,
08/04/2025,GRS/0047GRSD250 20229 Slab SGST~0047GRSD25 020229 Sl,359.84,,1346833.91,debit,
09/04/2025,MMT/IMPS/5099140 00420/RAGHAV/HD FC0004702,20000.00,,1326833.91,debit,
14/04/2025,MSI/OPENAI CHA/202504141901 /761152/,1796.74,,1325037.17,debit,
18/04/2025,MSI/OPENAI CHA/202504180146 /764155/,1780.95,,1323256.22,debit,
19/04/2025,MSI/VERCEL INC /202504190406/256 304/,1781.24,,1321474.98,debit,
19/04/2025,INF/INFT/039999106 701/APOORVACA,3000.00,,1318474.98,debit,
20/04/2025,BIL/ONL/001000025 808/Cleartrip,6710.00,,1311764.98,debit,
21/04/2025,MMT/IMPS/5111106 46511/NIDISH/UTIB 0000347,200000.00,,1111764.98,debit,
21/04/2025,INF/INFT/040011933 201/ApoorvaCA,55011.00,,1056753.98,debit,
28/04/2025,BIL/ONL/001003080 539/Indigo Air,9362.00,,1047391.98,debit,
28/04/2025,BIL/ONL/001003090 058/Indigo Air,9362.00,,1038029.98,debit,
29/04/2025,MIN/SQSP INV17/20250429131 1/704903/,2096.39,,1035933.59,debit,
29/04/2025,BIL/REV PMT ID 1003080539,,9362.00,1045295.59,credit,
30/04/2025,MMT/IMPS/5120122 68323/ANURAGUNI Q/HDFC0000141,15000.00,,1030295.59,debit,
30/04/2025,MMT/IMPS/5120122 67684/LOVELYIITIN DORE/SBIN0018790,17000.00,,1013295.59,debit,
